GI,count,cumsum
0.0,126,126
0.0002380952380952381,1,127
0.0004761904761904762,27,154
0.0005952380952380952,1,155
0.0007142857142857143,9,164
0.0008333333333333333,1,165
0.0009,11,176
0.0009523809523809524,19,195
0.0011904761904761904,8,203
0.0014285714285714286,32,235
0.0016,5,240
0.0016666666666666666,3,243
0.0017857142857142859,1,244
0.0019047619047619048,21,265
0.002023809523809524,2,267
0.002142857142857143,6,273
0.002261904761904762,2,275
0.0023809523809523807,13,288
0.0025,1,289
0.0026190476190476194,7,296
0.002857142857142857,30,326
0.002976190476190476,1,327
0.0030952380952380953,8,335
0.003333333333333333,27,362
0.0035714285714285718,4,366
0.0036,30,396
0.0036904761904761906,2,398
0.0038095238095238095,19,417
0.003928571428571429,1,418
0.004047619047619048,12,430
0.004166666666666667,1,431
0.004285714285714286,17,448
0.004523809523809524,7,455
0.0047619047619047615,21,476
0.004880952380952381,2,478
0.004900000000000001,14,492
0.005,3,495
0.00510204081632653,19,514
0.005238095238095239,10,524
0.005357142857142857,2,526
0.0054761904761904765,6,532
0.005595238095238096,1,533
0.005714285714285714,12,545
0.005952380952380952,5,550
0.006071428571428571,1,551
0.006190476190476191,6,557
0.0064,10,567
0.006428571428571429,2,569
0.006666666666666666,9,578
0.006904761904761905,1,579
0.0071428571428571435,10,589
0.007261904761904762,1,590
0.007380952380952381,6,596
0.0075,1,597
0.007619047619047619,3,600
0.007857142857142858,1,601
0.007976190476190477,1,602
0.008095238095238096,4,606
0.0081,40,646
0.008452380952380953,1,647
0.008571428571428572,3,650
0.008809523809523809,1,651
0.008952380952380953,1,652
0.009047619047619047,4,656
0.009523809523809523,4,660
0.009761904761904762,1,661
0.01,5,666
0.010000000000000002,44,710
0.01020408163265306,53,763
0.010680272108843536,1,764
0.0121,44,808
0.012653061224489798,1,809
0.013537414965986393,1,810
0.013804081632653061,1,811
0.0144,53,864
0.015306122448979591,19,883
0.016900000000000002,76,959
0.017959183673469388,1,960
0.019600000000000003,71,1031
0.02020408163265306,1,1032
0.02040816326530612,60,1092
0.02230408163265306,1,1093
0.0225,74,1167
0.02285714285714286,1,1168
0.023529411764705882,6,1174
0.023741496598639455,1,1175
0.024604081632653062,1,1176
0.025510204081632654,14,1190
0.0256,87,1277
0.02680816326530612,1,1278
0.026862745098039216,1,1279
0.027104081632653064,2,1281
0.02741496598639456,1,1282
0.028900000000000006,102,1384
0.029804081632653065,2,1386
0.030255102040816325,1,1387
0.030408163265306123,1,1388
0.030612244897959183,44,1432
0.0324,108,1540
0.03270408163265306,1,1541
0.03487346938775511,1,1542
0.03571428571428571,12,1554
0.03580408163265306,2,1556
0.03597142857142857,1,1557
0.0361,129,1686
0.0380047619047619,1,1687
0.038712244897959186,2,1689
0.03883553421368548,1,1690
0.03913503401360545,1,1691
0.04000000000000001,149,1840
0.040008163265306124,1,1841
0.04081632653061224,29,1870
0.04120204081632653,1,1871
0.04190476190476191,1,1872
0.04224489795918367,1,1873
0.04238095238095239,1,1874
0.04260408163265306,3,1877
0.04271224489795918,1,1878
0.04312941176470589,1,1879
0.04346938775510204,1,1880
0.04409999999999999,160,2040
0.04426674669867947,1,2041
0.04457619047619047,1,2042
0.04489795918367347,1,2043
0.04510204081632653,1,2044
0.04591836734693878,12,2056
0.04630408163265306,1,2057
0.047058823529411764,12,2069
0.04770612244897959,1,2070
0.04775510204081634,1,2071
0.0484,155,2226
0.04857142857142857,1,2227
0.04897959183673469,1,2228
0.049180432172869146,1,2229
0.04920204081632652,1,2230
0.049308163265306126,3,2233
0.050204081632653066,4,2237
0.05021224489795918,1,2238
0.050290476190476184,1,2239
0.0503047619047619,1,2240
0.050816326530612244,1,2241
0.05102040816326531,43,2284
0.05253145258103242,1,2285
0.052808163265306116,1,2286
0.0529,128,2414
0.05291632653061224,1,2415
0.05306122448979592,1,2416
0.05340136054421769,1,2417
0.0536734693877551,1,2418
0.053877551020408164,1,2419
0.05430408163265305,2,2421
0.05435374149659864,2,2423
0.05441020408163266,1,2424
0.054566666666666666,1,2425
0.054804761904761905,1,2426
0.055306122448979596,1,2427
0.05612244897959184,19,2446
0.05621224489795919,1,2447
0.056508163265306124,2,2449
0.057362905162064826,1,2450
0.0576,164,2614
0.05771632653061225,1,2615
0.05783809523809524,1,2616
0.05791020408163265,1,2617
0.058076190476190476,1,2618
0.05814549819927971,1,2619
0.05855238095238095,1,2620
0.05860408163265306,3,2623
0.058823529411764705,2,2625
0.059512244897959185,1,2626
0.060408163265306125,2,2628
0.061224489795918366,34,2662
0.06144257703081232,1,2663
0.0625,186,2849
0.0626530612244898,2,2851
0.06310408163265306,3,2854
0.06331632653061224,1,2855
0.06345238095238095,1,2856
0.06392857142857143,1,2857
0.06450816326530612,1,2858
0.06488095238095239,1,2859
0.0653061224489796,1,2860
0.0663265306122449,10,2870
0.06641632653061225,1,2871
0.06671224489795918,2,2873
0.06709183673469388,1,2874
0.06760000000000001,180,3054
0.06760204081632654,1,3055
0.06807619047619048,1,3056
0.0682061224489796,1,3057
0.06880816326530612,3,3060
0.06897959183673469,1,3061
0.06905380152060824,1,3062
0.06936470588235294,1,3063
0.06950476190476192,1,3064
0.06971632653061224,2,3066
0.07058823529411765,17,3083
0.0706122448979592,1,3084
0.07093333333333333,1,3085
0.07142857142857142,25,3110
0.07164761904761906,1,3111
0.07212380952380953,1,3112
0.07270204081632654,2,3114
0.07270408163265306,4,3118
0.0729,189,3307
0.0729061224489796,2,3309
0.07330816326530612,3,3312
0.0735204081632653,2,3314
0.07385238095238096,1,3315
0.07391020408163265,1,3316
0.0741296518607443,1,3317
0.07428571428571429,1,3318
0.07444761904761905,1,3319
0.07471224489795918,2,3321
0.07476190476190475,1,3322
0.07511904761904761,1,3323
0.07528095238095239,1,3324
0.0757142857142857,1,3325
0.07583333333333334,1,3326
0.07595882352941177,2,3328
0.07653061224489796,3,3331
0.07691632653061224,1,3332
0.07777106842737096,1,3333
0.07780408163265307,3,3336
0.07800816326530612,4,3340
0.07831836734693878,1,3341
0.07840000000000001,173,3514
0.07861428571428572,1,3515
0.07868823529411764,1,3516
0.07901224489795919,3,3519
0.07912989195678272,1,3520
0.07935238095238097,1,3521
0.07970952380952383,1,3522
0.0798142857142857,1,3523
0.07982857142857144,2,3525
0.08081632653061224,1,3526
0.08087326930772308,1,3527
0.08163265306122448,15,3542
0.08173333333333334,1,3543
0.08235294117647059,4,3547
0.0829061224489796,1,3548
0.08290816326530612,4,3552
0.08310408163265307,1,3553
0.08311020408163265,1,3554
0.0834204081632653,2,3556
0.08344897959183674,1,3557
0.08350204081632655,1,3558
0.08351224489795919,1,3559
0.08351596638655462,1,3560
0.08367346938775509,1,3561
0.0841,189,3750
0.0842517006802721,1,3751
0.08473389355742297,1,3752
0.08491632653061224,1,3753
0.08498823529411764,2,3755
0.08502244897959184,1,3756
0.08602941176470588,1,3757
0.08673469387755102,6,3763
0.08719523809523809,1,3764
0.08743333333333332,1,3765
0.08748823529411764,1,3766
0.08753925570228091,1,3767
0.08800816326530612,4,3771
0.08801020408163265,1,3772
0.08860408163265307,2,3774
0.08861428571428571,1,3775
0.08877551020408163,1,3776
0.08886190476190475,1,3777
0.09,178,3955
0.09099639855942376,1,3956
0.09112941176470589,1,3957
0.09132557022809124,1,3958
0.09142857142857143,2,3960
0.09183673469387756,13,3973
0.09222244897959184,1,3974
0.09238095238095238,1,3975
0.09311224489795919,2,3977
0.09330816326530612,2,3979
0.09331428571428571,2,3981
0.09333333333333332,1,3982
0.0937061224489796,2,3984
0.09371632653061224,2,3986
0.09411764705882353,15,4001
0.09430408163265305,6,4007
0.09469387755102042,1,4008
0.09510204081632653,3,4011
0.09517006802721088,1,4012
0.09564625850340136,2,4014
0.0961,195,4209
0.09693877551020408,7,4216
0.09702857142857142,1,4217
0.09752857142857144,1,4218
0.09795918367346938,1,4219
0.0984,1,4220
0.09841632653061225,2,4222
0.09880816326530613,2,4224
0.09881836734693877,1,4225
0.09940612244897959,1,4226
0.0994204081632653,1,4227
0.09943333333333333,1,4228
0.10014761904761905,1,4229
0.10020408163265306,3,4232
0.10120204081632654,3,4235
0.1019294117647059,1,4236
0.10204081632653061,6,4242
0.1024,143,4385
0.10242653061224491,2,4387
0.10298823529411764,2,4389
0.10302557022809122,1,4390
0.10351224489795918,1,4391
0.10370748299319728,1,4392
0.10392040816326531,1,4393
0.10450816326530611,2,4395
0.10452244897959184,2,4397
0.10465882352941176,1,4398
0.10474189675870349,1,4399
0.10501904761904762,1,4400
0.10525714285714287,1,4401
0.10532448979591835,1,4402
0.10588235294117647,8,4410
0.10612244897959185,1,4411
0.10630408163265306,1,4412
0.10632653061224491,1,4413
0.10714285714285714,5,4418
0.10716190476190476,2,4420
