Област,badm,top_student,class_score,class_rank
Варна,0,0.3804616739118294,0.37951561542039924,323.0
Варна,0,0.3785736242310314,0.37767329645315173,341.0
Варна,0,0.37637993602140063,0.37543043687679833,359.0
Варна,0,0.37454598450671966,0.37341252567692096,375.0
Варна,0,0.3725779551183999,0.37117092978814514,390.0
Велико Търново,0,0.9999444995125236,0.4759489442942489,55.0
Велико Търново,0,0.427616127417462,0.4139584232905452,139.0
Велико Търново,0,0.4050736470813584,0.4013695062945006,187.0
Велико Търново,0,0.3967963418349133,0.39336435882742604,225.0
Велико Търново,0,0.3896562170441443,0.3874898480363474,263.0
Велико Търново,0,0.3847251452254043,0.38394675713461807,286.0
Велико Търново,0,0.38251134526759434,0.3794062906309918,326.0
Велико Търново,0,0.3776894804141942,0.3752965830295991,361.0
Велико Търново,0,0.37320679385750094,0.37174789180128825,388.0
Велико Търново,0,0.3701006071883722,0.36899341996775986,402.0
Видин,0,0.4374361458879139,0.40541887216068795,168.0
Видин,0,0.38710579127831835,0.38091851163136775,315.0
Видин,0,0.37527338479101247,0.37185970005074503,387.0
Враца,0,0.4484890468419394,0.43161929710423913,102.0
Враца,0,0.4171013732086441,0.40887500445115976,156.0
Враца,0,0.4003862530869967,0.39489915760199207,220.0
Враца,0,0.38835958974217566,0.3837873202255612,287.0
Враца,0,0.3785736242310314,0.3752458127251614,363.0
Габрово,0,0.47293656082187263,0.4323797042758043,101.0
Габрово,0,0.41761825602303027,0.4067781235843667,164.0
Габрово,0,0.39835888055717306,0.3906566592626597,245.0
Габрово,0,0.3847251452254043,0.38097046132301177,314.0
Габрово,0,0.3773364779455478,0.3739485755463203,372.0
Добрич,0,0.40871728143527514,0.4025830043058567,184.0
Добрич,0,0.3952792594330982,0.39155838729600134,237.0
Добрич,0,0.3858944342725626,0.38284389302858335,296.0
Добрич,0,0.3794975949624941,0.3742152437465219,370.0
Кърджали,0,0.5065024679382033,0.44691551512748084,83.0
Кърджали,0,0.4294622528391379,0.4145875432132887,137.0
Кърджали,0,0.4050736470813584,0.3994754383879003,199.0
Кърджали,0,0.3938071582275228,0.390106803899973,247.0
Кърджали,0,0.3858944342725626,0.38267898769587483,299.0
Кърджали,0,0.3804616739118294,0.3782681085691172,338.0
Кърджали,0,0.3768448947542317,0.3754876896513545,358.0
Кърджали,0,0.37454598450671966,0.3719829589236749,386.0
Кюстендил,0,0.42959800626552735,0.4152891899546888,136.0
Кюстендил,0,0.4070182300308086,0.39950670687940726,198.0
Кюстендил,0,0.3938071582275228,0.38680951963597,269.0
Кюстендил,0,0.3804616739118294,0.3773615251897523,344.0
Ловеч,0,0.44033363332543773,0.4120750036864989,146.0
Ловеч,0,0.39579434604671376,0.39074125869738346,244.0
Ловеч,0,0.3847251452254043,0.3815219118567368,305.0
Монтана,0,0.4576207080944959,0.421420801006778,122.0
Монтана,0,0.40743995098813507,0.3992485992318184,200.0
Монтана,0,0.3923795782890168,0.3877724492683498,261.0
Монтана,0,0.3847251452254043,0.38138191274202415,308.0
Монтана,0,0.3787627759034116,0.3765755793368821,350.0
Монтана,0,0.37454598450671966,0.3733848218809394,376.0
Монтана,0,0.37202042249400746,0.37014964660969224,395.0
Пазарджик,0,0.45605191608054524,0.4052832645927577,169.0
Пазарджик,0,0.3967963418349133,0.3912936195829901,240.0
Пазарджик,0,0.3858944342725626,0.3829268600729336,293.0
Пазарджик,0,0.3804616739118294,0.37892850911026627,332.0
Пазарджик,0,0.3768448947542317,0.3743233223875131,369.0
Пазарджик,0,0.3725945994281025,0.37082628130221246,392.0
Перник,0,0.4476552071055276,0.4300823199804565,106.0
Перник,0,0.4121814170386705,0.40394457160478675,177.0
Перник,0,0.39638362534249383,0.39172322044106794,235.0
Перник,0,0.38710579127831835,0.38494138503211967,281.0
Перник,0,0.38251134526759434,0.37942964063785467,325.0
Перник,0,0.3768448947542317,0.3747231588193313,367.0
Перник,0,0.37202042249400746,0.37006354889289006,397.0
Плевен,0,0.5303278109407015,0.4363565222253585,94.0
Плевен,0,0.4166002799345478,0.4069920865630255,162.0
Плевен,0,0.39835888055717306,0.39322133255840874,226.0
Плевен,0,0.3858944342725626,0.3821964431556384,303.0
Плевен,0,0.37925686091483723,0.3761623750947737,352.0
Пловдив,0,0.6058339092787588,0.5470136927773607,26.0
Пловдив,0,0.5161857519699203,0.5006302778349924,43.0
Пловдив,0,0.48362406040869554,0.47180901690555366,59.0
Пловдив,0,0.4576207080944959,0.4497075670716323,79.0
Пловдив,0,0.44269030835991907,0.43673792698925734,93.0
Пловдив,0,0.43241640677009985,0.428992387935311,108.0
Пловдив,0,0.4253118602105281,0.42148589566553857,121.0
Пловдив,0,0.41869880812713217,0.415700005624538,133.0
Пловдив,0,0.41434808126211975,0.41242125908169086,144.0
Пловдив,0,0.4106126485205885,0.4095461576282834,152.0
Пловдив,0,0.40871728143527514,0.4048427967635285,172.0
Пловдив,0,0.40162230493043344,0.4007383938892851,190.0
Пловдив,0,0.3999673661669091,0.398052179574266,207.0
Пловдив,0,0.3967963418349133,0.3958406942895523,215.0
Пловдив,0,0.3946458714556843,0.39383921427416746,222.0
Пловдив,0,0.3925838653043835,0.3916942157414917,236.0
Пловдив,0,0.3909960746441333,0.38996528095870375,249.0
Пловдив,0,0.3896562170441443,0.38827017110067436,258.0
Пловдив,0,0.38710579127831835,0.38653660156964215,270.0
Пловдив,0,0.3858944342725626,0.3853736530633733,278.0
Пловдив,0,0.3847251452254043,0.3839488825960833,285.0
Пловдив,0,0.3835975643259802,0.38271358307945735,297.0
Пловдив,0,0.3814661550705026,0.38128997638833634,310.0
Пловдив,0,0.3804616739118294,0.3800377797235944,319.0
Пловдив,0,0.3794975949624941,0.37881562572344973,333.0
Пловдив,0,0.37829545085064026,0.3776661785060066,342.0
Пловдив,0,0.37718326803607805,0.37649410774019176,351.0
Пловдив,0,0.37603961090274385,0.375180283863839,364.0
Пловдив,0,0.37454598450671966,0.37376376921117904,373.0
Пловдив,0,0.37320679385750094,0.3720372743413186,384.0
Пловдив,0,0.3709854416105126,0.3701240637843793,396.0
Разград,0,0.42510778956159107,0.4038533067044309,179.0
Разград,0,0.39503495498069635,0.3854655306302568,276.0
Русе,0,0.5212364498746371,0.4649013587352365,66.0
Русе,0,0.44047548451393936,0.42563343820716826,113.0
Русе,0,0.4159240831527752,0.4085790577054371,158.0
Русе,0,0.4017071278610622,0.3972551351310312,210.0
Русе,0,0.3923795782890168,0.3890012783873984,256.0
Русе,0,0.3858944342725626,0.3827001235754715,298.0
Силистра,0,0.41920397776468304,0.4037910823824487,180.0
Силистра,0,0.3896562170441443,0.3797485121277386,322.0
Сливен,0,0.4510265629450947,0.42342716494173804,117.0
Сливен,0,0.40358278483306437,0.40008949339474104,193.0
Сливен,0,0.3967963418349133,0.39018395551615037,246.0
Сливен,0,0.3835975643259802,0.3800215021214564,320.0
Смолян,0,0.4233597924392702,0.40035157907566976,192.0
Смолян,0,0.3835975643259802,0.3786931426767885,335.0
София област,0,0.44959807637530397,0.432431234850106,100.0
София област,0,0.419551243893177,0.41375035413622485,140.0
София област,0,0.4085642620099778,0.4048357603519956,173.0
София област,0,0.4017027775314221,0.3984826572701049,203.0
София област,0,0.3952792594330982,0.3929443400552893,228.0
София област,0,0.39005323982548085,0.3870054985166823,268.0
София област,0,0.38424470368641045,0.38228092072397457,302.0
София област,0,0.3804616739118294,0.3789303587249415,331.0
София област,0,0.3768448947542317,0.3757936778730029,356.0
София област,0,0.37454598450671966,0.3724087462373029,382.0
София област,0,0.3693648575036058,0.3684790536425313,408.0
София област,0,0.3681409848028873,0.36805294455926024,411.0
София област,0,0.3679666017296069,0.36791463814206526,413.0
София-град,0,0.6926963169108312,0.6346995925403619,9.0
София-град,0,0.6165169922374946,0.6091625391554653,14.0
София-град,0,0.5997317999370667,0.5933696873650861,15.0
София-град,0,0.5864970390375255,0.5787722307689259,18.0
София-град,0,0.5734212353785597,0.5690249614209818,19.0
София-град,0,0.5642779289953483,0.5599698515352576,22.0
София-град,0,0.5552406911382312,0.5507061742872842,25.0
София-град,0,0.5460908572022737,0.5411017450812574,27.0
София-град,0,0.5359089445825138,0.5322036988607733,29.0
София-град,0,0.5275197080841396,0.5248919569501602,30.0
София-град,0,0.5215512355757238,0.519609871065292,33.0
София-град,0,0.5171289637706497,0.513130044929087,35.0
София-град,0,0.5079645079781583,0.5049770285743501,41.0
София-град,0,0.5014059148012292,0.4989217670195173,44.0
София-град,0,0.4963231877826097,0.49352819414429855,48.0
София-град,0,0.49105448704770405,0.48791004341295324,50.0
София-град,0,0.4849132063096098,0.48256514603057654,52.0
София-град,0,0.47955877743084546,0.47765204982989007,54.0
София-град,0,0.4752435057083092,0.4731175591318642,57.0
София-град,0,0.47092747712188654,0.4696104167125857,62.0
София-град,0,0.46807531737602753,0.4655910994095548,65.0
София-град,0,0.4628844868587451,0.4612519084425688,67.0
София-град,0,0.4599314707511673,0.4581347269409853,70.0
София-град,0,0.4568983400617425,0.45524556759634205,74.0
София-град,0,0.4539303748028879,0.452960338207687,76.0
София-град,0,0.451989218078399,0.45044527758143305,78.0
София-град,0,0.44887764895734905,0.447744372507352,82.0
София-град,0,0.44567994554102847,0.44468825708262366,85.0
София-град,0,0.4433969656652086,0.4424276172283281,86.0
София-град,0,0.4414336212949694,0.44052149413051667,88.0
София-град,0,0.4400334938347465,0.4392791305429355,90.0
София-град,0,0.43829280402361553,0.4375189707795831,91.0
София-град,0,0.436609087923709,0.4356159892367134,96.0
София-град,0,0.43489739815147554,0.4339811654459462,98.0
София-град,0,0.43309303280119654,0.43246306653019845,99.0
София-град,0,0.43188946008682927,0.4306271183193814,105.0
София-град,0,0.4299923499355127,0.42886275241673766,109.0
София-град,0,0.4276313740342415,0.4276092625082854,111.0
София-град,0,0.4273209495236565,0.4263617227162042,112.0
София-град,0,0.4255134197785364,0.42519318141040224,115.0
София-град,0,0.42400978803814654,0.42324211836879255,118.0
София-град,0,0.42305388993742715,0.42238579462699427,120.0
София-град,0,0.4211209630302281,0.4208762328232387,123.0
София-град,0,0.4208497786068463,0.4196943705150829,126.0
София-град,0,0.41869880812713217,0.41866311497006437,128.0
София-град,0,0.41843300689723184,0.41741195671012427,130.0
София-град,0,0.4166002799345478,0.4164565590121558,132.0
София-град,0,0.41599115653132157,0.4155220989911052,135.0
София-град,0,0.41455351461613105,0.4145535146161312,138.0
София-град,0,0.41454444498501936,0.41355013602243706,141.0
София-град,0,0.4125578515439652,0.41254792785248307,143.0
София-град,0,0.4123694394666286,0.41146606237535494,149.0
София-град,0,0.4106126485205885,0.4105799781710176,150.0
София-град,0,0.4102580307157206,0.409240989292436,155.0
София-град,0,0.40871728143527514,0.4087172814352749,157.0
София-град,0,0.40871728143527514,0.40828824769390903,159.0
София-град,0,0.4076188318615582,0.40701420916201914,161.0
София-град,0,0.4068711439309314,0.4067973878325135,163.0
София-град,0,0.40636542502134754,0.4055351823122195,167.0
София-град,0,0.4050736470813584,0.40499258222538553,170.0
София-град,0,0.4044559893105528,0.40387335418841164,178.0
София-град,0,0.40332421907864147,0.40332421907864163,181.0
София-град,0,0.40332421907864147,0.40302877331621456,182.0
София-град,0,0.4021935741236656,0.40176536573046284,185.0
София-град,0,0.40162230493043344,0.4016223049304333,186.0
София-град,0,0.40152975419094666,0.40051133253191784,191.0
София-град,0,0.3999673661669091,0.3999673661669091,195.0
София-град,0,0.3999673661669091,0.39977613263946354,196.0
София-град,0,0.39923276740376534,0.39861824104472476,202.0
София-град,0,0.39835888055717306,0.39835888055717306,204.0
София-град,0,0.39835888055717306,0.3978674892417754,208.0
София-град,0,0.3969624259075973,0.396815501834881,211.0
София-град,0,0.3967963418349133,0.3967343955858633,212.0
София-град,0,0.3963820155827176,0.39558173194879465,216.0
София-град,0,0.3952792594330982,0.3952792594330982,217.0
София-град,0,0.3952792594330982,0.3946801477022875,221.0
София-град,0,0.39397472050852045,0.393825801787351,223.0
София-град,0,0.3938071582275228,0.39380715822752277,224.0
София-град,0,0.3938071582275228,0.39316911455507825,227.0
София-град,0,0.3923795782890168,0.39237957828901665,229.0
София-град,0,0.3923795782890168,0.392349813916113,231.0
София-град,0,0.3921565514009285,0.3912999831927986,239.0
София-град,0,0.3909960746441333,0.3909960746441334,241.0
София-град,0,0.3909960746441333,0.3909079205234242,243.0
София-град,0,0.39024216077422275,0.38994310684036515,250.0
София-град,0,0.3896562170441443,0.3896562170441445,252.0
София-град,0,0.3896562170441443,0.38943105530850985,253.0
София-град,0,0.3883917917628488,0.388362744107869,257.0
София-град,0,0.38835958974217566,0.3881927348155763,259.0
София-град,0,0.3876694004875051,0.3871975050019288,265.0
София-град,0,0.38710579127831835,0.3871057912783181,266.0
София-град,0,0.38703662573521314,0.38622973218532125,271.0
София-град,0,0.3858944342725626,0.3858944342725627,272.0
София-град,0,0.3858944342725626,0.3858877336951721,273.0
София-град,0,0.38554981191572646,0.3849777878814583,280.0
София-град,0,0.3847251452254043,0.38472514522540424,282.0
София-град,0,0.3847251452254043,0.3845619473853901,283.0
София-град,0,0.3835975643259802,0.3835975643259804,289.5
София-град,0,0.3835975643259802,0.3835975643259804,289.5
София-град,0,0.38347334692053653,0.38289550048885135,294.0
София-град,0,0.38251134526759434,0.3825113452675943,300.0
София-град,0,0.38251134526759434,0.3823228077644735,301.0
София-град,0,0.381543622002745,0.38146917896531285,306.0
София-град,0,0.3814661550705026,0.3814661550705027,307.0
София-град,0,0.3814661550705026,0.38121437268199304,312.0
София-град,0,0.38046206018753204,0.38046168876857983,316.0
София-град,0,0.3804616739118294,0.3804616739118293,317.0
София-град,0,0.3804616739118294,0.3797702705299241,321.0
София-град,0,0.3794975949624941,0.3794975949624938,324.0
София-град,0,0.3794975949624941,0.3792826739443492,329.0
София-град,0,0.3786184687242022,0.3785753489210111,336.0
София-град,0,0.3785736242310314,0.3783872709716869,337.0
София-град,0,0.3776894804141942,0.37768948041419437,340.0
София-град,0,0.3776894804141942,0.37747399260997044,343.0
София-град,0,0.3770151917608751,0.3768650114037987,346.0
София-град,0,0.3768448947542317,0.37679478915104514,347.0
София-град,0,0.37637993602140063,0.37610623411936545,353.0
София-град,0,0.37603961090274385,0.3758210286245837,355.0
София-град,0,0.375425818915701,0.3752792464973331,362.0
София-град,0,0.37527338479101247,0.3749282478303422,366.0
София-град,0,0.37454598450671966,0.3745450630857982,368.0
София-град,0,0.37447412048157297,0.37397191093918386,371.0
София-град,0,0.3738571901769653,0.37353790375744045,374.0
София-град,0,0.37320679385750094,0.37320679385750105,377.0
София-град,0,0.3725945994281025,0.372592678892882,381.0
София-град,0,0.3725779551183999,0.3720360394817614,385.0
София-град,0,0.3716334759733563,0.3715760128346983,389.0
София-град,0,0.37148409029334767,0.37105046366386757,391.0
София-град,0,0.3709854416105126,0.37069983022170616,393.0
София-град,0,0.37052432669538216,0.36991802031944565,398.0
София-град,0,0.3697141560512407,0.3695274453072202,400.0
София-град,0,0.36927649092644493,0.36912891273191706,401.0
София-град,0,0.3689704336480839,0.36886803081149305,403.0
София-град,0,0.3688143797131512,0.3687300324437199,404.0
София-град,0,0.3686209644944763,0.36857303912557077,406.0
София-град,0,0.3685388872870155,0.36848620496425777,407.0
София-град,0,0.36840271437859423,0.36836159709957916,409.0
София-град,0,0.36825001618778785,0.3681774144677391,410.0
София-град,0,0.3681409848028873,0.36796539475013373,412.0
София-град,0,0.36787944117144233,0.36787944117144233,414.0
Стара Загора,0,0.432767329390095,0.41903869656478243,127.0
Стара Загора,0,0.4125578515439652,0.40942101460114244,153.0
Стара Загора,0,0.4068711439309314,0.40269221420937434,183.0
Стара Загора,0,0.39900652036437406,0.39642285493884494,214.0
Стара Загора,0,0.3938071582275228,0.39229351818448127,233.0
Стара Загора,0,0.3909960746441333,0.38783818280896604,260.0
Стара Загора,0,0.3847251452254043,0.38286842639403107,295.0
Стара Загора,0,0.38118701731172855,0.37933398287964554,327.0
Стара Загора,0,0.3773364779455478,0.37591337844452144,354.0
Стара Загора,0,0.37454598450671966,0.3723659798202105,383.0
Стара Загора,0,0.3697516943323978,0.36866418375241644,405.0
Търговище,0,0.4299923499355127,0.4048534384059074,171.0
Търговище,0,0.3938071582275228,0.3855332563075129,275.0
Хасково,0,0.44389243204775136,0.4255146059010897,114.0
Хасково,0,0.4125578515439652,0.4057720881884873,165.0
Хасково,0,0.40162230493043344,0.3981002726934048,206.0
Хасково,0,0.3938071582275228,0.3913649466937675,238.0
Хасково,0,0.38835958974217566,0.3855502759777517,274.0
Хасково,0,0.3835975643259802,0.38100201535311945,313.0
Хасково,0,0.3785736242310314,0.37536300303958964,360.0
Хасково,0,0.37320679385750094,0.3705349613455142,394.0
Шумен,0,0.4394084774366954,0.41040873012133783,151.0
Шумен,0,0.40162230493043344,0.39737698049733405,209.0
Шумен,0,0.3938071582275228,0.3891363157325712,255.0
Шумен,0,0.3858944342725626,0.38320839683312474,291.0
Шумен,0,0.38069041774765094,0.3793008038497358,328.0
Шумен,0,0.3776894804141942,0.3766946740741029,348.0
Шумен,0,0.37527338479101247,0.3731597511461948,378.0
Ямбол,0,0.4694323720119863,0.44031851235788083,89.0
Ямбол,0,0.4166002799345478,0.4055355664870761,166.0
Ямбол,0,0.3999673661669091,0.3909222162965684,242.0
Ямбол,0,0.3847251452254043,0.3781988237172458,339.0
