thresh,Благоевград,Бургас,Варна,Велико Търново,Видин,Враца,Габрово,Добрич,Кърджали,Кюстендил,Ловеч,Монтана,Пазарджик,Перник,Плевен,Пловдив,Разград,Русе,Силистра,Сливен,Смолян,София област,София-град,Стара Загора,Търговище,Хасково,Шумен,Ямбол
0.0,19,18,28,10,3,5,5,4,8,4,3,7,6,7,5,31,2,6,2,4,2,13,140,11,2,8,7,4
0.4122023800723554,3,5,11,2,0,1,1,0,2,1,0,1,0,1,1,9,0,2,0,1,0,2,51,1,0,1,0,1
0.45,1,2,6,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,26,0,0,0,0,0
0.475,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,18,0,0,0,0,0
0.5,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,13,0,0,0,0,0
